13,4,4,17,5,5,22,6,6,22,6,8,15,3,7,16,4,6,16,8,7,19,7,5,20,5,6,21,5,8,12,6,4,37,16,5,20,9,6,39,16,6,29,11,6,79,24,7,22,6,8,23,5,9,23,9,6,2,1,0,0,0,0,0
16,3,7,17,3,4,20,4,6,22,5,7,14,3,5,17,3,5,12,6,5,15,7,6,17,3,6,18,4,7,9,5,6,15,9,4,12,6,5,16,8,6,34,9,6,75,20,7,22,5,7,22,4,9,11,5,7,6,1,3,0,0,0,1
4,2,4,5,3,6,6,4,6,6,4,7,3,2,3,3,2,4,3,3,4,4,3,4,6,4,7,6,4,6,2,2,2,4,1,2,7,4,5,13,5,5,17,6,4,19,6,4,7,4,7,7,5,8,12,5,9,0,0,0,0,0,0,0
6,2,16,6,2,13,6,2,14,6,3,12,4,2,10,4,2,8,4,3,7,3,3,5,5,3,9,5,3,7,3,2,4,5,3,2,6,3,7,13,6,10,10,5,7,18,8,24,7,3,20,6,3,9,10,5,9,2,1,3,0,0,0,1
7,7,3,28,10,12,11,5,6,9,3,4,6,6,2,8,4,4,11,4,5,10,3,4,11,4,5,12,4,6,9,4,3,10,3,4,14,6,5,17,6,5,31,14,6,34,12,7,10,5,6,13,4,7,16,6,5,1,0,0,0,0,0,0
3,5,2,13,6,7,6,3,3,5,2,3,4,5,2,5,2,3,7,4,3,7,3,2,9,4,4,10,4,5,6,5,2,7,4,2,11,9,3,13,8,4,18,25,3,23,19,3,6,3,4,11,4,5,14,8,3,6,1,1,0,0,0,1
12,1,5,13,1,4,23,2,8,24,2,9,11,1,4,12,1,5,16,1,4,15,1,5,28,2,12,28,2,8,18,1,3,31,2,4,49,3,12,49,3,8,78,4,8,58,4,10,25,2,8,36,3,27,68,3,12,3,0,1,0,0,0,0
3,0,3,3,0,2,5,0,4,5,1,4,3,0,2,2,0,2,3,0,2,4,0,3,8,1,5,10,1,6,3,0,2,20,2,9,9,1,6,11,1,3,12,1,7,17,4,6,6,1,4,9,1,4,18,1,8,7,1,4,0,0,0,1
7,3,11,8,4,12,13,6,17,13,7,17,6,3,10,9,4,12,14,5,14,14,4,10,25,5,15,23,6,16,12,3,9,20,4,11,38,6,17,40,6,13,41,7,13,37,8,15,12,6,18,22,5,15,39,6,12,1,0,1,0,0,0,0
7,4,9,6,5,13,7,6,17,8,7,17,4,2,7,6,5,13,6,3,8,9,6,12,12,7,13,12,7,16,5,3,6,14,5,9,16,7,20,18,6,11,14,7,9,17,7,9,7,7,20,10,7,15,13,5,9,0,0,1,0,0,0,1
