13,4,4,17,5,5,21,6,7,23,7,8,14,3,8,16,5,6,16,7,8,19,7,5,19,4,7,23,4,8,12,6,5,36,16,5,20,8,6,38,14,6,29,10,6,81,25,7,22,7,8,24,5,10,23,8,6,2,1,0,0,0,0,0
11,2,8,12,3,5,13,3,6,14,4,7,10,2,5,11,3,6,8,4,5,11,6,6,11,3,6,12,3,6,5,5,6,15,8,4,6,4,5,14,7,5,13,5,5,58,17,5,15,4,7,16,3,9,8,4,6,7,1,3,0,0,0,1
4,2,4,5,2,5,6,4,6,6,4,7,3,1,3,3,2,4,3,3,4,4,3,4,6,4,6,7,4,6,3,2,2,5,1,2,8,4,5,14,5,5,17,8,4,21,8,5,7,4,7,7,4,8,14,5,8,0,0,0,0,0,0,0
6,2,13,5,2,10,7,2,12,6,3,10,4,2,8,3,2,6,6,3,7,4,2,4,7,3,9,6,3,6,3,1,5,5,3,2,7,3,6,12,5,10,10,6,5,18,6,15,7,3,18,8,3,9,10,6,8,3,1,3,0,0,0,1
7,6,3,27,10,13,11,7,6,9,3,5,6,5,2,7,5,4,9,4,4,9,3,5,12,4,6,11,4,7,10,4,3,8,3,4,14,6,5,14,5,5,33,12,6,33,8,6,11,5,6,13,4,8,15,5,5,1,0,0,0,0,0,0
3,5,3,12,6,7,5,3,3,5,3,3,4,4,2,4,2,2,6,4,3,6,4,2,9,4,4,9,4,5,7,4,2,8,4,2,11,9,3,12,9,3,18,22,3,18,24,3,5,3,4,10,4,6,13,8,3,7,1,1,0,0,0,1
15,1,5,14,1,4,27,2,10,28,3,9,13,1,4,13,1,4,19,1,5,15,2,6,34,2,15,32,2,9,23,1,4,31,2,5,61,4,14,51,3,9,89,4,10,61,4,10,29,2,9,41,3,11,79,4,13,4,0,1,0,0,0,0
3,0,3,4,0,2,5,0,4,5,1,4,4,0,2,3,0,2,3,0,1,4,0,2,8,0,4,9,1,5,3,0,2,20,1,8,9,1,5,9,1,3,13,1,6,16,3,5,5,0,4,7,1,4,17,1,7,8,1,3,0,0,0,1
5,3,10,6,3,13,10,5,17,10,7,19,5,2,9,6,3,13,9,3,11,11,3,11,17,4,16,18,5,16,7,3,8,15,3,11,21,5,14,31,4,13,23,5,14,22,4,11,9,6,18,17,4,17,25,4,11,1,0,1,0,0,0,0
8,4,10,10,5,12,8,6,16,11,6,16,4,2,7,10,5,13,6,3,8,13,6,13,14,7,13,16,8,17,6,4,6,19,6,11,19,8,19,28,7,13,20,9,10,24,7,10,9,7,18,12,8,16,18,6,10,0,0,1,0,0,0,1
15,2,9,7,1,3,13,1,7,13,1,8,6,0,3,6,0,3,11,1,4,11,1,5,20,1,7,21,1,7,13,1,2,30,2,6,56,3,6,85,5,8,115,6,5,117,6,6,13,1,8,16,1,6,75,5,10,1,0,1,0,0,0,0
6,1,9,6,1,8,8,1,6,10,2,7,5,1,5,4,0,3,5,1,4,10,1,3,10,2,6,15,2,5,6,1,3,32,2,4,27,3,5,76,7,6,96,6,4,126,8,4,10,1,8,12,2,7,47,4,7,1,0,1,0,0,0,1
2,0,3,2,0,3,4,1,5,4,1,5,2,0,4,3,1,3,3,0,3,7,1,3,5,1,3,6,1,4,2,1,2,9,1,2,7,2,2,11,2,3,9,2,2,12,2,3,4,1,4,6,1,4,8,2,3,1,0,0,0,0,0,0
2,1,3,2,0,2,4,1,3,3,1,3,1,0,1,1,0,2,1,0,1,1,0,1,2,0,2,2,0,2,1,0,1,2,1,1,2,1,2,2,0,1,2,0,1,4,1,1,2,0,4,2,0,2,2,0,1,0,0,0,0,0,0,1
8,1,6,7,1,5,14,2,10,12,2,9,6,1,5,5,1,3,19,1,12,14,2,9,31,3,21,28,3,18,13,1,7,11,1,6,55,3,32,52,3,31,40,3,23,43,3,24,14,2,10,31,3,22,71,3,41,0,0,0,0,0,0,0
